Planning_area,Year,Month,Sector,GWh
PGE,2019,1,Ag With Water Pump,266.8028935
PGE,2019,1,Commercial,2946.348894
PGE,2019,1,Industrial,1220.812571
PGE,2019,1,Mining,444.3482462
PGE,2019,1,Residential,2913.375653
PGE,2019,1,Streetlighting,29.36900508
PGE,2019,1,TCU,518.4233843
PGE,2019,2,Ag With Water Pump,255.7766325
PGE,2019,2,Commercial,2606.911712
PGE,2019,2,Industrial,1207.970231
PGE,2019,2,Mining,399.5227901
PGE,2019,2,Residential,2438.510504
PGE,2019,2,Streetlighting,25.86657294
PGE,2019,2,TCU,435.643905
PGE,2019,3,Ag With Water Pump,274.6672857
PGE,2019,3,Commercial,2783.482107
PGE,2019,3,Industrial,1187.683814
PGE,2019,3,Mining,401.4747671
PGE,2019,3,Residential,2663.600438
PGE,2019,3,Streetlighting,26.57922006
PGE,2019,3,TCU,475.7531849
PGE,2019,4,Ag With Water Pump,361.8506956
PGE,2019,4,Commercial,2839.975342
PGE,2019,4,Industrial,1194.67062
PGE,2019,4,Mining,415.1888808
PGE,2019,4,Residential,2208.078721
PGE,2019,4,Streetlighting,27.00344433
PGE,2019,4,TCU,475.2246478
PGE,2019,5,Ag With Water Pump,520.2092857
PGE,2019,5,Commercial,2957.232223
PGE,2019,5,Industrial,1252.102677
PGE,2019,5,Mining,421.6336078
PGE,2019,5,Residential,2272.584329
PGE,2019,5,Streetlighting,26.70516239
PGE,2019,5,TCU,515.3677099
PGE,2019,6,Ag With Water Pump,593.4243319
PGE,2019,6,Commercial,2870.812477
PGE,2019,6,Industrial,1197.717328
PGE,2019,6,Mining,410.4516114
PGE,2019,6,Residential,2572.698423
PGE,2019,6,Streetlighting,26.66609227
PGE,2019,6,TCU,488.7741782
PGE,2019,7,Ag With Water Pump,867.0823847
PGE,2019,7,Commercial,3412.719215
PGE,2019,7,Industrial,1267.303347
PGE,2019,7,Mining,462.5803117
PGE,2019,7,Residential,3015.858209
PGE,2019,7,Streetlighting,27.62900077
PGE,2019,7,TCU,528.8955878
PGE,2019,8,Ag With Water Pump,890.2777592
PGE,2019,8,Commercial,3529.822267
PGE,2019,8,Industrial,1380.583547
PGE,2019,8,Mining,456.264398
PGE,2019,8,Residential,3273.758742
PGE,2019,8,Streetlighting,26.09104072
PGE,2019,8,TCU,512.6477739
PGE,2019,9,Ag With Water Pump,729.4340112
PGE,2019,9,Commercial,3422.369744
PGE,2019,9,Industrial,1373.100664
PGE,2019,9,Mining,433.6367749
PGE,2019,9,Residential,2993.544401
PGE,2019,9,Streetlighting,2.73E+01
PGE,2019,9,TCU,526.7793435
PGE,2019,10,Ag With Water Pump,546.7336575
PGE,2019,10,Commercial,3386.63487
PGE,2019,10,Industrial,1361.422782
PGE,2019,10,Mining,422.7929977
PGE,2019,10,Residential,2590.251833
PGE,2019,10,Streetlighting,2.79E+01
PGE,2019,10,TCU,515.0879644
PGE,2019,11,Ag With Water Pump,400.6114899
PGE,2019,11,Commercial,2813.325402
PGE,2019,11,Industrial,1288.086857
PGE,2019,11,Mining,422.9179911
PGE,2019,11,Residential,1918.940594
PGE,2019,11,Streetlighting,26.08207423
PGE,2019,11,TCU,444.111098
PGE,2019,12,Ag With Water Pump,346.3831169
PGE,2019,12,Commercial,3235.000017
PGE,2019,12,Industrial,1256.04455
PGE,2019,12,Mining,444.0783505
PGE,2019,12,Residential,2698.862812
PGE,2019,12,Streetlighting,2.94E+01
PGE,2019,12,TCU,535.4242057
PGE,2020,1,Ag With Water Pump,288.8023001
PGE,2020,1,Commercial,2863.380577
PGE,2020,1,Industrial,1210.58585
PGE,2020,1,Mining,415.8054499
PGE,2020,1,Residential,2943.433896
PGE,2020,1,Streetlighting,2.78E+01
PGE,2020,1,TCU,469.866807
PGE,2020,2,Ag With Water Pump,306.4274079
PGE,2020,2,Commercial,2665.426284
PGE,2020,2,Industrial,1130.039071
PGE,2020,2,Mining,314.5290109
PGE,2020,2,Residential,2436.175788
PGE,2020,2,Streetlighting,2.49E+01
PGE,2020,2,TCU,452.3352992
PGE,2020,3,Ag With Water Pump,474.4034105
PGE,2020,3,Commercial,2793.747672
PGE,2020,3,Industrial,1107.651613
PGE,2020,3,Mining,412.5106214
PGE,2020,3,Residential,2453.62849
PGE,2020,3,Streetlighting,2.73E+01
PGE,2020,3,TCU,469.0143567
PGE,2020,4,Ag With Water Pump,429.128029
PGE,2020,4,Commercial,2497.282096
PGE,2020,4,Industrial,1168.436088
PGE,2020,4,Mining,438.9030753
PGE,2020,4,Residential,2527.121192
PGE,2020,4,Streetlighting,2.59E+01
PGE,2020,4,TCU,454.0512231
PGE,2020,5,Ag With Water Pump,668.0076745
PGE,2020,5,Commercial,2364.51075
PGE,2020,5,Industrial,1106.615801
PGE,2020,5,Mining,383.537815
PGE,2020,5,Residential,2457.122936
PGE,2020,5,Streetlighting,2.55E+01
PGE,2020,5,TCU,419.5303397
PGE,2020,6,Ag With Water Pump,1007.262781
PGE,2020,6,Commercial,2816.858112
PGE,2020,6,Industrial,1162.119468
PGE,2020,6,Mining,364.3621302
PGE,2020,6,Residential,2985.103904
PGE,2020,6,Streetlighting,2.73E+01
PGE,2020,6,TCU,470.055758
PGE,2020,7,Ag With Water Pump,1223.264611
PGE,2020,7,Commercial,3008.622529
PGE,2020,7,Industrial,1222.020854
PGE,2020,7,Mining,379.5643301
PGE,2020,7,Residential,3480.080729
PGE,2020,7,Streetlighting,2.54E+01
PGE,2020,7,TCU,465.0731221
PGE,2020,8,Ag With Water Pump,1154.673182
PGE,2020,8,Commercial,2941.42369
PGE,2020,8,Industrial,1214.819029
PGE,2020,8,Mining,375.9395417
PGE,2020,8,Residential,3478.38105
PGE,2020,8,Streetlighting,2.22E+01
PGE,2020,8,TCU,453.7191212
PGE,2020,9,Ag With Water Pump,964.0078499
PGE,2020,9,Commercial,3026.169783
PGE,2020,9,Industrial,1262.482861
PGE,2020,9,Mining,368.811
PGE,2020,9,Residential,3542.662746
PGE,2020,9,Streetlighting,2.39E+01
PGE,2020,9,TCU,451.9101706
PGE,2020,10,Ag With Water Pump,728.8373693
PGE,2020,10,Commercial,2998.587344
PGE,2020,10,Industrial,1273.430272
PGE,2020,10,Mining,375.8425615
PGE,2020,10,Residential,2974.014002
PGE,2020,10,Streetlighting,2.35E+01
PGE,2020,10,TCU,445.8712483
PGE,2020,11,Ag With Water Pump,487.6267468
PGE,2020,11,Commercial,2537.740504
PGE,2020,11,Industrial,1110.553851
PGE,2020,11,Mining,359.2125827
PGE,2020,11,Residential,2297.588648
PGE,2020,11,Streetlighting,2.43E+01
PGE,2020,11,TCU,398.1594167
PGE,2020,12,Ag With Water Pump,378.0036056
PGE,2020,12,Commercial,2647.985918
PGE,2020,12,Industrial,1077.15546
PGE,2020,12,Mining,416.799854
PGE,2020,12,Residential,3098.350227
PGE,2020,12,Streetlighting,3.07E+01
PGE,2020,12,TCU,454.4215325
PGE,2021,1,Ag With Water Pump,298.2179427
PGE,2021,1,Commercial,2593.732495
PGE,2021,1,Industrial,1113.958148
PGE,2021,1,Mining,400.5189542
PGE,2021,1,Residential,2936.547063
PGE,2021,1,Streetlighting,24.36150946
PGE,2021,1,TCU,433.6160675
PGE,2021,2,Ag With Water Pump,340.4830535
PGE,2021,2,Commercial,2298.314562
PGE,2021,2,Industrial,1026.144734
PGE,2021,2,Mining,354.5185554
PGE,2021,2,Residential,2565.715023
PGE,2021,2,Streetlighting,2.48E+01
PGE,2021,2,TCU,398.4393469
PGE,2021,3,Ag With Water Pump,489.5643448
PGE,2021,3,Commercial,2706.571322
PGE,2021,3,Industrial,1114.406166
PGE,2021,3,Mining,403.8568546
PGE,2021,3,Residential,2791.326939
PGE,2021,3,Streetlighting,2.40E+01
PGE,2021,3,TCU,488.8826867
PGE,2021,4,Ag With Water Pump,649.2395387
PGE,2021,4,Commercial,2617.65519
PGE,2021,4,Industrial,1124.497657
PGE,2021,4,Mining,416.922992
PGE,2021,4,Residential,2434.630082
PGE,2021,4,Streetlighting,23.66339438
PGE,2021,4,TCU,433.3354985
PGE,2021,5,Ag With Water Pump,862.2141899
PGE,2021,5,Commercial,2588.648767
PGE,2021,5,Industrial,1203.268687
PGE,2021,5,Mining,406.3599621
PGE,2021,5,Residential,2362.304075
PGE,2021,5,Streetlighting,2.08E+01
PGE,2021,5,TCU,430.1718824
PGE,2021,6,Ag With Water Pump,1156.950331
PGE,2021,6,Commercial,2991.078872
PGE,2021,6,Industrial,1206.480673
PGE,2021,6,Mining,401.6608067
PGE,2021,6,Residential,2916.680491
PGE,2021,6,Streetlighting,28.93882632
PGE,2021,6,TCU,486.342161
PGE,2021,7,Ag With Water Pump,1220.369995
PGE,2021,7,Commercial,3026.982203
PGE,2021,7,Industrial,1184.38277
PGE,2021,7,Mining,398.20825
PGE,2021,7,Residential,3442.139131
PGE,2021,7,Streetlighting,24.44786891
PGE,2021,7,TCU,474.2859364
PGE,2021,8,Ag With Water Pump,1199.159606
PGE,2021,8,Commercial,3283.289238
PGE,2021,8,Industrial,1301.350457
PGE,2021,8,Mining,408.4901582
PGE,2021,8,Residential,3566.224084
PGE,2021,8,Streetlighting,25.53438785
PGE,2021,8,TCU,474.8463501
PGE,2021,9,Ag With Water Pump,966.2759172
PGE,2021,9,Commercial,3179.225907
PGE,2021,9,Industrial,1251.410891
PGE,2021,9,Mining,391.1541589
PGE,2021,9,Residential,3233.206677
PGE,2021,9,Streetlighting,25.20646192
PGE,2021,9,TCU,469.16908
PGE,2021,10,Ag With Water Pump,795.8025788
PGE,2021,10,Commercial,2928.301771
PGE,2021,10,Industrial,1226.966975
PGE,2021,10,Mining,409.912402
PGE,2021,10,Residential,2522.129244
PGE,2021,10,Streetlighting,24.53835828
PGE,2021,10,TCU,445.0486127
PGE,2021,11,Ag With Water Pump,573.5604999
PGE,2021,11,Commercial,2766.224259
PGE,2021,11,Industrial,1198.81654
PGE,2021,11,Mining,391.9652215
PGE,2021,11,Residential,2148.328696
PGE,2021,11,Streetlighting,23.73262134
PGE,2021,11,TCU,458.1539801
PGE,2021,12,Ag With Water Pump,431.0049235
PGE,2021,12,Commercial,2956.625742
PGE,2021,12,Industrial,1153.449493
PGE,2021,12,Mining,413.3395609
PGE,2021,12,Residential,2909.557318
PGE,2021,12,Streetlighting,28.67947631
PGE,2021,12,TCU,528.6742065
PGE,2022,1,Ag With Water Pump,346.0512711
PGE,2022,1,Commercial,2620.806005
PGE,2022,1,Industrial,1133.492458
PGE,2022,1,Mining,410.6451416
PGE,2022,1,Residential,2879.200381
PGE,2022,1,Streetlighting,2.09E+01
PGE,2022,1,TCU,446.860592
PGE,2022,2,Ag With Water Pump,397.8387374
PGE,2022,2,Commercial,2520.490579
PGE,2022,2,Industrial,1092.002694
PGE,2022,2,Mining,371.5452837
PGE,2022,2,Residential,2491.26841
PGE,2022,2,Streetlighting,21.69317596
PGE,2022,2,TCU,417.5065992
PGE,2022,3,Ag With Water Pump,632.1388177
PGE,2022,3,Commercial,2849.230365
PGE,2022,3,Industrial,1141.015222
PGE,2022,3,Mining,401.0764846
PGE,2022,3,Residential,2734.323169
PGE,2022,3,Streetlighting,26.35561744
PGE,2022,3,TCU,484.6114751
PGE,2022,4,Ag With Water Pump,653.5521444
PGE,2022,4,Commercial,2710.201185
PGE,2022,4,Industrial,1152.360107
PGE,2022,4,Mining,377.6156846
PGE,2022,4,Residential,2301.796399
PGE,2022,4,Streetlighting,24.65780819
PGE,2022,4,TCU,447.2531078
PGE,2022,5,Ag With Water Pump,847.4879479
PGE,2022,5,Commercial,2845.279206
PGE,2022,5,Industrial,1167.460664
PGE,2022,5,Mining,410.6794775
PGE,2022,5,Residential,2362.808689
PGE,2022,5,Streetlighting,24.49270662
PGE,2022,5,TCU,475.9181126
PGE,2022,6,Ag With Water Pump,1125.892758
PGE,2022,6,Commercial,3092.207491
PGE,2022,6,Industrial,1164.046944
PGE,2022,6,Mining,384.6823243
PGE,2022,6,Residential,2844.013073
PGE,2022,6,Streetlighting,24.65732925
PGE,2022,6,TCU,467.8045406
PGE,2022,7,Ag With Water Pump,1210.26597
PGE,2022,7,Commercial,3126.025044
PGE,2022,7,Industrial,1186.371028
PGE,2022,7,Mining,370.8560945
PGE,2022,7,Residential,3214.563127
PGE,2022,7,Streetlighting,24.2439284
PGE,2022,7,TCU,470.5380537
PGE,2022,8,Ag With Water Pump,1256.859689
PGE,2022,8,Commercial,3431.761207
PGE,2022,8,Industrial,1282.581139
PGE,2022,8,Mining,411.2683869
PGE,2022,8,Residential,3707.784519
PGE,2022,8,Streetlighting,26.35078387
PGE,2022,8,TCU,493.8691377
PGE,2022,9,Ag With Water Pump,1026.587511
PGE,2022,9,Commercial,3385.605701
PGE,2022,9,Industrial,1302.021532
PGE,2022,9,Mining,387.2813814
PGE,2022,9,Residential,3518.761378
PGE,2022,9,Streetlighting,23.55745952
PGE,2022,9,TCU,486.4166303
PGE,2022,10,Ag With Water Pump,757.9610248
PGE,2022,10,Commercial,3217.965193
PGE,2022,10,Industrial,1280.507286
PGE,2022,10,Mining,391.3861901
PGE,2022,10,Residential,2596.141219
PGE,2022,10,Streetlighting,2.48E+01
PGE,2022,10,TCU,474.653894
PGE,2022,11,Ag With Water Pump,550.2659866
PGE,2022,11,Commercial,2710.918572
PGE,2022,11,Industrial,1141.864767
PGE,2022,11,Mining,383.1301352
PGE,2022,11,Residential,2333.506907
PGE,2022,11,Streetlighting,24.57963829
PGE,2022,11,TCU,428.4563974
PGE,2022,12,Ag With Water Pump,408.479597
PGE,2022,12,Commercial,2846.832015
PGE,2022,12,Industrial,1138.335798
PGE,2022,12,Mining,384.3269922
PGE,2022,12,Residential,2918.933684
PGE,2022,12,Streetlighting,24.89416
PGE,2022,12,TCU,473.500472
PGE,2023,1,Ag With Water Pump,372.1644341
PGE,2023,1,Commercial,2787.639248
PGE,2023,1,Industrial,1078.488936
PGE,2023,1,Mining,382.8868083
PGE,2023,1,Residential,3146.065758
PGE,2023,1,Streetlighting,25.40992433
PGE,2023,1,TCU,436.6865779
PGE,2023,2,Ag With Water Pump,291.5099733
PGE,2023,2,Commercial,2581.853429
PGE,2023,2,Industrial,1017.647877
PGE,2023,2,Mining,321.9025691
PGE,2023,2,Residential,2652.538379
PGE,2023,2,Streetlighting,27.24252052
PGE,2023,2,TCU,416.8075413
PGE,2023,3,Ag With Water Pump,369.2685783
PGE,2023,3,Commercial,2934.302665
PGE,2023,3,Industrial,1077.925904
PGE,2023,3,Mining,393.9291946
PGE,2023,3,Residential,3129.793281
PGE,2023,3,Streetlighting,28.4808241
PGE,2023,3,TCU,467.4071149
PGE,2023,4,Ag With Water Pump,371.0714153
PGE,2023,4,Commercial,2666.412464
PGE,2023,4,Industrial,1132.279891
PGE,2023,4,Mining,381.842399
PGE,2023,4,Residential,2547.846528
PGE,2023,4,Streetlighting,2.46E+01
PGE,2023,4,TCU,429.4142429
PGE,2023,5,Ag With Water Pump,583.1812002
PGE,2023,5,Commercial,3007.760302
PGE,2023,5,Industrial,1194.622639
PGE,2023,5,Mining,381.4132375
PGE,2023,5,Residential,2529.82465
PGE,2023,5,Streetlighting,2.51E+01
PGE,2023,5,TCU,455.02898
PGE,2023,6,Ag With Water Pump,769.8180989
PGE,2023,6,Commercial,3059.499527
PGE,2023,6,Industrial,1080.367036
PGE,2023,6,Mining,370.7455287
PGE,2023,6,Residential,2680.125744
PGE,2023,6,Streetlighting,2.58E+01
PGE,2023,6,TCU,470.5774125
PGE,2023,7,Ag With Water Pump,889.517568
PGE,2023,7,Commercial,3118.769651
PGE,2023,7,Industrial,1134.094041
PGE,2023,7,Mining,389.9370495
PGE,2023,7,Residential,3126.732986
PGE,2023,7,Streetlighting,26.01970176
PGE,2023,7,TCU,463.8544581
PGE,2023,8,Ag With Water Pump,1145.10303
PGE,2023,8,Commercial,3453.086056
PGE,2023,8,Industrial,1195.05604
PGE,2023,8,Mining,382.028843
PGE,2023,8,Residential,3797.88243
PGE,2023,8,Streetlighting,23.90396017
PGE,2023,8,TCU,487.5055147
PGE,2023,9,Ag With Water Pump,730.3368997
PGE,2023,9,Commercial,3302.089539
PGE,2023,9,Industrial,1214.459618
PGE,2023,9,Mining,370.8327025
PGE,2023,9,Residential,3075.893365
PGE,2023,9,Streetlighting,24.97163871
PGE,2023,9,TCU,452.2770067
PGE,2023,10,Ag With Water Pump,596.9616385
PGE,2023,10,Commercial,3193.075872
PGE,2023,10,Industrial,1241.984891
PGE,2023,10,Mining,374.4571036
PGE,2023,10,Residential,2605.582437
PGE,2023,10,Streetlighting,25.60904171
PGE,2023,10,TCU,461.8463789
PGE,2023,11,Ag With Water Pump,448.5922312
PGE,2023,11,Commercial,2753.106562
PGE,2023,11,Industrial,1168.440721
PGE,2023,11,Mining,359.6846922
PGE,2023,11,Residential,2272.635174
PGE,2023,11,Streetlighting,22.04615685
PGE,2023,11,TCU,421.6503788
PGE,2023,12,Ag With Water Pump,360.8452056
PGE,2023,12,Commercial,2772.121048
PGE,2023,12,Industrial,1059.023199
PGE,2023,12,Mining,378.9369445
PGE,2023,12,Residential,2683.17504
PGE,2023,12,Streetlighting,2.41E+01
PGE,2023,12,TCU,438.4988623
SCE,2019,1,Ag With Water Pump,343.6639767
SCE,2019,1,Commercial,2663.333461
SCE,2019,1,Industrial,1147.617345
SCE,2019,1,Mining,240.5492891
SCE,2019,1,Residential,2699.575156
SCE,2019,1,Streetlighting,46.16984193
SCE,2019,1,TCU,373.2304277
SCE,2019,2,Ag With Water Pump,233.4560219
SCE,2019,2,Commercial,2781.960269
SCE,2019,2,Industrial,1638.588723
SCE,2019,2,Mining,268.3639714
SCE,2019,2,Residential,2565.364949
SCE,2019,2,Streetlighting,43.86364368
SCE,2019,2,TCU,447.1384169
SCE,2019,3,Ag With Water Pump,178.2565623
SCE,2019,3,Commercial,2722.585561
SCE,2019,3,Industrial,1443.071739
SCE,2019,3,Mining,298.1823433
SCE,2019,3,Residential,2458.822729
SCE,2019,3,Streetlighting,41.53731573
SCE,2019,3,TCU,398.6817331
SCE,2019,4,Ag With Water Pump,275.2811372
SCE,2019,4,Commercial,2737.736247
SCE,2019,4,Industrial,1399.450458
SCE,2019,4,Mining,274.8058929
SCE,2019,4,Residential,2134.496167
SCE,2019,4,Streetlighting,38.58335481
SCE,2019,4,TCU,400.3148179
SCE,2019,5,Ag With Water Pump,372.1015657
SCE,2019,5,Commercial,2830.149023
SCE,2019,5,Industrial,1468.105681
SCE,2019,5,Mining,275.0113062
SCE,2019,5,Residential,2156.952436
SCE,2019,5,Streetlighting,38.29970416
SCE,2019,5,TCU,415.0046079
SCE,2019,6,Ag With Water Pump,386.1779791
SCE,2019,6,Commercial,2812.595556
SCE,2019,6,Industrial,1466.798004
SCE,2019,6,Mining,262.6850095
SCE,2019,6,Residential,2453.349153
SCE,2019,6,Streetlighting,37.15815102
SCE,2019,6,TCU,424.3194893
SCE,2019,7,Ag With Water Pump,451.051248
SCE,2019,7,Commercial,3118.382076
SCE,2019,7,Industrial,1319.508025
SCE,2019,7,Mining,228.5945845
SCE,2019,7,Residential,3153.951138
SCE,2019,7,Streetlighting,3.66E+01
SCE,2019,7,TCU,398.7975774
SCE,2019,8,Ag With Water Pump,482.8564864
SCE,2019,8,Commercial,3370.746374
SCE,2019,8,Industrial,1530.556321
SCE,2019,8,Mining,237.4344432
SCE,2019,8,Residential,3849.166056
SCE,2019,8,Streetlighting,3.65E+01
SCE,2019,8,TCU,441.4358584
SCE,2019,9,Ag With Water Pump,473.2938322
SCE,2019,9,Commercial,3518.576665
SCE,2019,9,Industrial,1532.899879
SCE,2019,9,Mining,270.0649608
SCE,2019,9,Residential,3946.463526
SCE,2019,9,Streetlighting,38.83764068
SCE,2019,9,TCU,455.9810619
SCE,2019,10,Ag With Water Pump,355.2876259
SCE,2019,10,Commercial,3150.873882
SCE,2019,10,Industrial,1488.695365
SCE,2019,10,Mining,272.327386
SCE,2019,10,Residential,2783.098711
SCE,2019,10,Streetlighting,39.56951222
SCE,2019,10,TCU,426.3929862
SCE,2019,11,Ag With Water Pump,289.2976428
SCE,2019,11,Commercial,3004.566211
SCE,2019,11,Industrial,1710.449282
SCE,2019,11,Mining,284.5734128
SCE,2019,11,Residential,2334.23265
SCE,2019,11,Streetlighting,42.20914614
SCE,2019,11,TCU,461.8520553
SCE,2019,12,Ag With Water Pump,275.3714856
SCE,2019,12,Commercial,2723.766197
SCE,2019,12,Industrial,1409.749529
SCE,2019,12,Mining,264.4392001
SCE,2019,12,Residential,2547.069566
SCE,2019,12,Streetlighting,44.09697224
SCE,2019,12,TCU,418.8076755
SCE,2020,1,Ag With Water Pump,201.5869313
SCE,2020,1,Commercial,2674.633189
SCE,2020,1,Industrial,1131.311996
SCE,2020,1,Mining,223.4211554
SCE,2020,1,Residential,2721.834651
SCE,2020,1,Streetlighting,1.72E+01
SCE,2020,1,TCU,383.5498799
SCE,2020,2,Ag With Water Pump,206.7153248
SCE,2020,2,Commercial,2730.534203
SCE,2020,2,Industrial,1617.49253
SCE,2020,2,Mining,267.7770831
SCE,2020,2,Residential,2365.569276
SCE,2020,2,Streetlighting,1.58E+01
SCE,2020,2,TCU,443.1633312
SCE,2020,3,Ag With Water Pump,312.6790189
SCE,2020,3,Commercial,2623.078162
SCE,2020,3,Industrial,1195.163824
SCE,2020,3,Mining,226.3938436
SCE,2020,3,Residential,2256.068009
SCE,2020,3,Streetlighting,1.55E+01
SCE,2020,3,TCU,371.2461696
SCE,2020,4,Ag With Water Pump,288.7163909
SCE,2020,4,Commercial,2292.329434
SCE,2020,4,Industrial,1327.278516
SCE,2020,4,Mining,228.7959005
SCE,2020,4,Residential,2359.050179
SCE,2020,4,Streetlighting,4.14E+01
SCE,2020,4,TCU,390.9458595
SCE,2020,5,Ag With Water Pump,396.1953027
SCE,2020,5,Commercial,2585.110028
SCE,2020,5,Industrial,1589.97819
SCE,2020,5,Mining,265.2859642
SCE,2020,5,Residential,2868.446309
SCE,2020,5,Streetlighting,76.99294912
SCE,2020,5,TCU,427.6912448
SCE,2020,6,Ag With Water Pump,537.0263268
SCE,2020,6,Commercial,2678.498717
SCE,2020,6,Industrial,1374.681588
SCE,2020,6,Mining,217.1667754
SCE,2020,6,Residential,3012.663237
SCE,2020,6,Streetlighting,44.10997674
SCE,2020,6,TCU,407.4542383
SCE,2020,7,Ag With Water Pump,593.305664
SCE,2020,7,Commercial,3013.847308
SCE,2020,7,Industrial,1245.070262
SCE,2020,7,Mining,241.5985685
SCE,2020,7,Residential,3757.849885
SCE,2020,7,Streetlighting,14.55548102
SCE,2020,7,TCU,412.8952009
SCE,2020,8,Ag With Water Pump,546.0533572
SCE,2020,8,Commercial,3051.096318
SCE,2020,8,Industrial,1434.446233
SCE,2020,8,Mining,183.074711
SCE,2020,8,Residential,4127.37108
SCE,2020,8,Streetlighting,43.69154862
SCE,2020,8,TCU,424.2938713
SCE,2020,9,Ag With Water Pump,492.1613272
SCE,2020,9,Commercial,3090.189242
SCE,2020,9,Industrial,1388.499064
SCE,2020,9,Mining,181.8563583
SCE,2020,9,Residential,4385.651762
SCE,2020,9,Streetlighting,50.9795749
SCE,2020,9,TCU,419.6854135
SCE,2020,10,Ag With Water Pump,516.1698791
SCE,2020,10,Commercial,3151.203825
SCE,2020,10,Industrial,1534.4733
SCE,2020,10,Mining,189.4566695
SCE,2020,10,Residential,3752.513518
SCE,2020,10,Streetlighting,43.18862606
SCE,2020,10,TCU,472.978787
SCE,2020,11,Ag With Water Pump,447.2069497
SCE,2020,11,Commercial,2770.924639
SCE,2020,11,Industrial,1452.710922
SCE,2020,11,Mining,171.9102609
SCE,2020,11,Residential,2692.37797
SCE,2020,11,Streetlighting,49.3580697
SCE,2020,11,TCU,440.1404194
SCE,2020,12,Ag With Water Pump,421.274479
SCE,2020,12,Commercial,2547.518893
SCE,2020,12,Industrial,1396.352124
SCE,2020,12,Mining,175.613567
SCE,2020,12,Residential,2673.864372
SCE,2020,12,Streetlighting,38.21475619
SCE,2020,12,TCU,437.1612407
SCE,2021,1,Ag With Water Pump,352.492124
SCE,2021,1,Commercial,2477.45126
SCE,2021,1,Industrial,1331.320523
SCE,2021,1,Mining,165.070442
SCE,2021,1,Residential,2846.255031
SCE,2021,1,Streetlighting,51.03836042
SCE,2021,1,TCU,441.3025301
SCE,2021,2,Ag With Water Pump,191.3188089
SCE,2021,2,Commercial,2431.417293
SCE,2021,2,Industrial,1342.469163
SCE,2021,2,Mining,171.2448417
SCE,2021,2,Residential,2585.601625
SCE,2021,2,Streetlighting,48.33814225
SCE,2021,2,TCU,415.81856
SCE,2021,3,Ag With Water Pump,397.4745605
SCE,2021,3,Commercial,2394.673628
SCE,2021,3,Industrial,1409.328031
SCE,2021,3,Mining,156.5589216
SCE,2021,3,Residential,2403.308581
SCE,2021,3,Streetlighting,50.27948304
SCE,2021,3,TCU,434.2880409
SCE,2021,4,Ag With Water Pump,484.5030919
SCE,2021,4,Commercial,2685.041459
SCE,2021,4,Industrial,1484.114962
SCE,2021,4,Mining,222.1970735
SCE,2021,4,Residential,2471.006087
SCE,2021,4,Streetlighting,54.2190843
SCE,2021,4,TCU,485.7605737
SCE,2021,5,Ag With Water Pump,526.745728
SCE,2021,5,Commercial,2642.415149
SCE,2021,5,Industrial,1411.068611
SCE,2021,5,Mining,206.1378338
SCE,2021,5,Residential,2415.343943
SCE,2021,5,Streetlighting,60.63802935
SCE,2021,5,TCU,476.0707156
SCE,2021,6,Ag With Water Pump,584.8012516
SCE,2021,6,Commercial,2915.073238
SCE,2021,6,Industrial,1475.913902
SCE,2021,6,Mining,193.5681469
SCE,2021,6,Residential,2985.007225
SCE,2021,6,Streetlighting,52.09990784
SCE,2021,6,TCU,509.686434
SCE,2021,7,Ag With Water Pump,626.1362239
SCE,2021,7,Commercial,3265.57306
SCE,2021,7,Industrial,1503.046243
SCE,2021,7,Mining,200.2353474
SCE,2021,7,Residential,4144.363177
SCE,2021,7,Streetlighting,57.92864967
